Mozilla/5.0 (Linux; Android 6.0.1; 12; en-us; 10; T-Mobile myTouch 3G Slide Build/S349X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9983.0.4898.48 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 7; en-us; 10; T-Mobile myTouch 3G Slide Build/Z482A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9998.0.4491.43 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 7; en-us; 10; T-Mobile myTouch 3G Slide Build/O980R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9985.0.4660.101 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 11; en-us; 10; T-Mobile myTouch 3G Slide Build/A776S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9990.0.4341.45 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 11; en-us; 10; T-Mobile myTouch 3G Slide Build/B315Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9981.0.4572.115 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 11; en-us; 10; T-Mobile myTouch 3G Slide Build/Y970I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9983.0.4865.92 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 6; en-us; 10; T-Mobile myTouch 3G Slide Build/E980N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9982.0.4424.142 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 10; en-us; 10; T-Mobile myTouch 3G Slide Build/W543E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9973.0.4483.124 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 11; en-us; 10; T-Mobile myTouch 3G Slide Build/X436C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9992.0.4765.140 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 9; en-us; 10; T-Mobile myTouch 3G Slide Build/S364P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9991.0.4335.117 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 12; en-us; 10; T-Mobile myTouch 3G Slide Build/E636M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9991.0.4815.85 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 6; en-us; 10; T-Mobile myTouch 3G Slide Build/M440O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9973.0.4851.66 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 8; en-us; 10; T-Mobile myTouch 3G Slide Build/W238P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9994.0.4731.139 Mobile Safari/533.1
Mozilla/5.0 (Linux; Android 6.0.1; 12; en-us; 10; T-Mobile myTouch 3G Slide Build/V557D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.9985.0.4455.67 Mobile Safari/533.1
